CPC513,Compressive Strength & Elastic Moduli of Intact Rock,ASTM D7012-07
RCK018,Unconfined Compressive Strength of Core Specimens,ASTM D7012
RCK023,Uniaxial Compressive Strength of Intack Rock Core,ASTM D7012
